,video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
0,99646439579873280,2016-05-24T10:31:17,8,,2500,11,88,167300,Finally landed it 😇,False,,maiaofficial,M A I A 😍,,,,,,True,,,
9,90180349384663040,2016-04-28T07:36:25,14,,2828,6,17,61300,Second part 😍 :)) #fail #dance @musical.ly ,False,,maiaofficial,M A I A 😍,,,,,,True,,,
18,90061919960596480,2016-04-27T23:45:49,14,,2445,4,19,39500,Tag @musical.ly and get me featured 😰💖 #dance #featureme,False,,maiaofficial,M A I A 😍,,,,,,True,,,
27,80154873723260928,2016-03-31T15:38:46,14,,1686,2,10,30100,Amazing class tonight 😍 #dance #featureme ?,False,,maiaofficial,M A I A 😍,,,,,,True,,,
36,79160884022927360,2016-03-28T21:49:00,14,,2228,0,7,25600,We mess around too much 😂🔥  #dance ,False,,maiaofficial,M A I A 😍,,,,,,True,,,
45,78757933362053122,2016-03-27T19:07:49,14,,2141,1,4,20400,My family 💖🙄 #newtothis ,False,,maiaofficial,M A I A 😍,,,,,,True,,,
54,78721071813668864,2016-03-27T16:41:21,14,,1506,0,7,16200,💖😌 ,False,,maiaofficial,M A I A 😍,,,,,,True,,,
63,78065788208713728,2016-03-25T21:17:29,14,,1944,0,5,12100,Last part 💖😇 #dance,False,,maiaofficial,M A I A 😍,,,,,,True,,,
72,78065564807471104,2016-03-25T21:16:36,14,,1755,1,0,7846,Part 2 😇,False,,maiaofficial,M A I A 😍,,,,,,True,,,
81,78065335613939712,2016-03-25T21:15:41,0,,1564,0,8,5536,Miss me ? 🙄💖 #dance #work #part1,False,,maiaofficial,M A I A 😍,,,,,,True,,,
90,7412748112642526469,2024-09-09T16:48:48,20,SN,456,7,14,3220,Bruh made a whole new dance 🤣🔥 @Ethereal🪼🫧 @𝗠4𝗦𝗦™️ #fail #gorillatgifdancechallenge,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
100,7412736934964923654,2024-09-09T16:05:23,14,SN,303,3,3,1725,"La geek, le otaku et celle qui suit jamais les règles ✨📚  @Ethereal🪼🫧 @𝗠4𝗦𝗦™️ #leluxe #humour #streetwearfashion",False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
110,7412732683152936197,2024-09-09T15:48:55,9,SN,381,1,11,2344,Streetwear style edition ✨,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
120,7412576639877467425,2024-09-09T05:43:25,67,FR,22700,1665,188,445100,Best Easy Iron Farm (Java & Bedrock) #minecraft ,False,,kwyseur,KwySeuR,,,,,,False,,,
130,7412541411557444907,2024-09-09T03:26:38,50,US,397,3,20,5243,Fake Magic vs REAL Magic 😧,False,,seandoesmagic,Seany,,,,,,True,,,
139,7412361434673188126,2024-09-08T15:48:13,16,US,360800,6950,2658,1600000,PRE SAVE my debut album now🥹,False,,alexwaarren,Alex Warren,,,,,,True,,,
148,7412294560988138757,2024-09-08T11:28:44,13,BR,14300,34,79,102400,vamo! @Fernanda Concon @Julia Rabelo @Bianca 🤍,False,,maisa,+a,,,,,,True,,,
157,7412143633207463210,2024-09-08T01:43:02,31,GR,3912,16,35,71300,Which Magic Trick is BETTER? 😧,False,,seandoesmagic,Seany,,,,,,True,,,
166,7411987872074468639,2024-09-07T15:38:40,12,US,93600,464,393,590600,"thank you, next.",False,,avani,avani,,,,,,True,,,
176,7411844725478591776,2024-09-07T06:23:06,63,FR,1823,125,32,30800,Minecraft Cherry 🍒 Heart House 🌸 #minecraft ,False,,kwyseur,KwySeuR,,,,,,False,,,
185,7411333104700280094,2024-09-05T21:17:45,16,US,10900,45,99,351800,new nails and i put them on in the car because THEY PRESS ONSSSS 😋 also my mom made them :) ( @ nailsxanisha on instagram),False,,avani,avani,,,,,,True,,,
194,7411205919889034502,2024-09-05T13:04:14,8,BR,1363,21,56,105800,"Sobrancelhas levantadas, acabamento matte e cobertura leve? O Brow Stick é o produto certo! 🧡 @Mari Maria Makeup 🧡 usa Brow Stick na cor Brown ✨",False,,marimariamakeup,Mari Maria Makeup,,,,,,False,,,
