video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7404680009979284782,2024-08-18T23:00:18,12,US,229100,12500,1322,1700000,#school #ginger #fypシ゚viral #brunettegirl #girlplayingfootballtackle #august #Inverted #footballseason #girlwrwestler #teamwork ,False,,audri.summerr,Audri Summer,,,,,,False,,,
7411630209591561473,2024-09-06T16:31:04,6,JP,5173,0,5,13400,こんなに？！ #お金 #貯金 #貯金術 #お金の勉強 #お金の管理 #貯金生活 ,False,,nyanpi81,nyanpi,,,,,,False,,,
7412417718411922704,2024-09-08T19:27:04,6,JP,5049,0,12,20900,幸せ絶好調😍 #お金 #貯金 #貯金術 #お金の勉強 #お金の管理 #貯金生活 ,False,,nyanpi81,nyanpi,,,,,,False,,,
7404144320938380575,2024-08-17T12:21:46,5,US,179200,16100,692,1300000,Replying to @Azazel like Harley Quinn once said to Nightwing…”Gravity is key🤓 #foryoupage ,False,,cherryneedlesll,CherryNeedlesll,,,,,,False,,,
7395914707317607688,2024-07-26T08:06:24,12,JP,866000,23300,4303,15500000,トイレで授業サボってる時に先生が張り込みに来て特大の屁で誤魔化そうとしたら大事故かました #逃走中 #退学 #高校生 #面白い #おすすめ,False,,m_douga,ミリオン動画,,,,,,False,,,
7411482717604302112,2024-09-06T06:58:23,33,TR,5596,2193,121,419400,The end is 😍😍,False,,thecouplesblankey,TheCouplesBlankey,,,,,,False,,,
7403864690952097055,2024-08-16T18:16:39,5,US,389900,26600,1337,1800000,#natalienunn #fyp #relatable #zeus #baddiessouth ,False,,stnnagxrl,stnnagxrl,,,,,,False,,,
7398497989775330567,2024-08-02T07:10:50,11,JP,161900,9134,2539,3600000,"このあとやばいことがおきます 8/9より順次再上映。 ""不条理""ホラー短編集 「#nn4444 」 #映画予告 #映画 ",False,,nn4444_film,映画 NN4444 @8/9劇場公開,,,,,,False,,,
7386993666008632577,2024-07-02T07:08:16,13,VN,182,3,2,28500,"Bánh đậu xanh📍Hợp Phì, TQ #tramangcau #ancungtiktok #douyinvideo #banhdauxanh #绿豆糕 #lǜdòugāo #montrungquoc #hoctiengtrung #xuhuong #fyp ",False,,tramangcau.rv,Trà mãng cầu🌱🪆,,,,,,False,,,
7380685506734034209,2024-06-15T07:09:25,86,NG,54000,372,930,1500000,#gifted #child #teacher ,False,,cinematicshowtv,Cinema TV,,,,,,False,,,
7412787429779852549,2024-09-09T19:21:21,82,BR,403000,3672,4017,4500000,,False,,eduarda_figuered0,Eduarda,,,,,,False,,,
7405099249819520287,2024-08-20T02:07:36,95,PK,704800,14900,2751,43200000,#welding ,False,,ironwelding99,IRON WELDING,,,,,,False,,,
7410037931760520479,2024-09-02T09:32:08,0,US,567300,19100,945,10400000,He brought his dead daughter back to life.#movie #fyp #foryou ,False,,nbdh018,Nbd h,,,,,,False,,,
7401270599064014085,2024-08-09T18:30:05,67,BR,817400,7090,1176,46800000,Jogo da bolinha acerte as cores #desafio #brincadeira #jogo #desafiotiktok #jogos #desafios,False,,campeoesdosjogos,Campeões dos Jogos,,,,,,False,,,
7412733218471841042,2024-09-09T15:50:55,54,UG,129000,11500,672,9800000,@Essie Mulungi music ,False,,prossyamericanheight.1,Prossy American Height,,,,,,False,,,
7413777254767004960,2024-09-12T11:22:17,81,DE,18900,115,30,1500000,#funny #viral #spot #cartoon #funnyvideos #funnyvideo #fypツ #tiktok #fyp #animtion ,False,,noiseclarkcop,clark0clark,,,,,,False,,,
7408901449167490311,2024-08-30T08:01:35,13,MY,3876,102,19,18800,#CapCut #fypシ ,False,,userkozam,kozam,,,,,,False,,,
7408866369715866896,2024-08-30T05:45:31,18,JP,115800,2200,1189,4200000,【音源】男子高校生が作るなんかおかしいお弁当 #弁当 #料理 #お弁当 #cooking #簡単レシピ #レシピ 追記: 音源登録を忘れてしまいました。音源は@バズ さまのものになります。ご指摘してくださった方、ありがとうございます🙇,False,,kitchen_tetsu,てつキッチン🍩男子高校生,,,,,,False,,,
7404446996821708078,2024-08-18T07:56:28,39,US,108700,3933,1211,2900000,My new assistants least favorite part about her job..#camilaaraujo ,False,,user7773754035202,GlowingStar88,,,,,,False,,,
7411826131701173505,2024-09-07T05:10:56,19,TH,5106,0,0,52100,#CapCut #ฟีดดดシ ,False,,tiw5634,กวินทิพย์ ฯ🛠️,,,,,,False,,,
7396681940029558023,2024-07-28T09:43:40,36,TH,1000000,7626,9033,12200000,Burmeseeeeee lets gooooo,False,,lilyyypantila,Lily Pantila,,,,,,False,,,
7391109830339022088,2024-07-13T09:21:02,20,TH,93600,1221,157,618000,Chiang Mai ✈️ Silverstone #cnx #silverstone #britishgp #formula1 #f1 #redbullracing  #fyp ,False,,jjchalaj,faustus,,,,,,False,"Chiang mai ,Thailand",สุเทพ เมืองเชียงใหม่ เชียงใหม่ ไทย,Mueang Chiang Mai District
7413711681932627207,2024-09-12T07:07:50,12,MY,147,9,17,500,#duet with @Dipon Nomo #☬মুর্শিদ_প্রেমিক_ইমন☬ ,False,,noor4914,🇧🇩 MD Noor ali 🇲🇾,,,,,,False,,,
7410604447539170581,2024-09-03T22:10:14,15,TH,15700,761,12,25200,@อิงไม่ใช่อิ้งค์!!! #fyppppppppppppppppppppppp ,False,,chnra__hy45,♡ เกรซ ♡,,,,,,False,,,
7390040885213383954,2024-07-10T12:13:01,33,JP,369200,12100,1812,7200000,意外と違うもんですね🎃 #アフレコ #アテレコ ,False,,8484_yasy,やっしー。🍊,,,,,,False,,,
7380670895620197639,2024-06-15T06:12:40,14,JP,893200,3455,1160,23000000,たまに天然なとこ似てるwww #永野芽郁 #マネージャー,False,,mei.n_24,シマエナガのメイ,,,,,,False,,,
7412596161816612097,2024-09-09T06:59:06,9,JP,7707,64,1704,116100,いるかな😊 #お金 #お金持ち #稼ぐ #お金の稼ぎ方 #お小遣い #お小遣いチャレンジ #還元 ,False,,sarekenji0,けんじ,,,,,,False,,,
7401165983999708449,2024-08-09T11:44:08,122,TN,1100000,9289,8745,19700000,The Voice Kids Leonie Unstoppable Sia The Voice Kids  #thevoicekids #TheVoice #fyp #fy #foryou #foryoupage ,False,,thevoicekids87,TheVoiceKids87✌️,,,,,,False,الانتشار الأسرع,"Attaif, Makkah, Saudi Arabia",At-Taif
7406242811458194721,2024-08-23T04:04:59,66,GB,24300,126,105,705000,#fypツ #foryoupage #satisfying ,False,,edridge.nichola,Edridge.Nichola,,,,,,False,,,
7387708336390573330,2024-07-04T05:21:30,65,JP,54500,292,501,2800000,表情も無！具も無！ 何もかも無！無無無！ #ブラック企業 #ol日常 #簡単レシピ #退勤後vlog #限界ol #簡単パスタ #睡眠不足 #虚無虚無ぷりん ,False,,ol1730,なな|OL簡単ご飯,,,,,,False,,,
7388849084104297746,2024-07-07T07:08:13,15,JP,280000,1834,1999,4100000,これしかおすすめ流れてこない😂,False,,0808sakura,🌸桜🌸,,,,,,True,,,
7413849224246332703,2024-09-12T16:01:39,51,US,1517,15,49,28500,My go to skincare product for when I need to rebalance and revitalize my skin is my Aveeno Daily Moisturizing Cream 💕 It helps to instantly strengthen my skin’s moisture barrier from head to toe! 🥰@Aveeno_US @Aveeno Canada #Aveeno #AveenoPartner #ThePowerOfOat ,False,,avani,avani,,,,,,True,,,
7413817376141020447,2024-09-12T13:58:01,14,US,2417,15,74,25600,,False,,avani,avani,,,,,,True,,,
7411987872074468639,2024-09-07T15:38:40,12,US,129900,630,454,928000,"thank you, next.",False,,avani,avani,,,,,,True,,,
7411333104700280094,2024-09-05T21:17:45,16,US,13500,58,100,451600,new nails and i put them on in the car because THEY PRESS ONSSSS 😋 also my mom made them :) ( @ nailsxanisha on instagram),False,,avani,avani,,,,,,True,,,
7410848800794823966,2024-09-04T13:58:25,8,US,15200,74,66,458400,🤓,False,,avani,avani,,,,,,True,,,
7410622504437386526,2024-09-03T23:20:21,13,US,13600,54,50,420400,vegas GOODNIGHT,False,,avani,avani,,,,,,True,,,
7410510139851083038,2024-09-03T16:04:12,11,US,8856,43,88,360100,bye vegas ,False,,avani,avani,,,,,,True,,,
7409005277292268830,2024-08-30T14:44:44,9,US,14900,64,134,681200,,False,,avani,avani,,,,,,True,,,
7408203221992230174,2024-08-28T10:52:16,33,US,8079,134,210,704600,HEYDUDE! HEYDUDE! HEYDUDE! Loving my new @HeyDude x Beetlejuice collab shoes! #HEYDUDEPartner,False,,avani,avani,,,,,,True,,,
7407965619565464862,2024-08-27T19:30:18,9,US,24000,126,79,833000,noah i cant do this today 🙂‍↕️🙂‍↕️,False,,avani,avani,,,,,,True,,,
7407962743506029854,2024-08-27T19:19:08,14,US,33400,387,117,769200,🥱🥱🥱,False,,avani,avani,,,,,,True,,,
7407249644125818143,2024-08-25T21:11:58,15,US,736300,6996,1522,6800000,anyways,False,,avani,avani,,,,,,True,,,
7407228072606321951,2024-08-25T19:48:13,11,US,53800,430,198,1000000,i just be postin,False,,avani,avani,,,,,,True,,,
7407197837433261342,2024-08-25T17:50:50,15,US,99400,2141,455,1300000,oh how i love this dance 😭 DANCE CREDITS: @erica  !!!,False,,avani,avani,,,,,,True,,,
7407196370253155615,2024-08-25T17:45:11,15,US,13000,102,101,587300,erm this pencil is taller than me 😀✏️🍎🤓,False,,avani,avani,,,,,,True,,,
7413849224246332703,2024-09-12T16:01:39,51,US,1548,15,49,29600,My go to skincare product for when I need to rebalance and revitalize my skin is my Aveeno Daily Moisturizing Cream 💕 It helps to instantly strengthen my skin’s moisture barrier from head to toe! 🥰@Aveeno_US @Aveeno Canada #Aveeno #AveenoPartner #ThePowerOfOat ,False,,avani,avani,,,,,,True,,,
7413817376141020447,2024-09-12T13:58:01,14,US,2418,15,74,25600,,False,,avani,avani,,,,,,True,,,
7411987872074468639,2024-09-07T15:38:40,12,US,129900,630,454,928100,"thank you, next.",False,,avani,avani,,,,,,True,,,
7411333104700280094,2024-09-05T21:17:45,16,US,13500,58,100,451600,new nails and i put them on in the car because THEY PRESS ONSSSS 😋 also my mom made them :) ( @ nailsxanisha on instagram),False,,avani,avani,,,,,,True,,,
7410848800794823966,2024-09-04T13:58:25,8,US,15200,74,66,458400,🤓,False,,avani,avani,,,,,,True,,,
7410622504437386526,2024-09-03T23:20:21,13,US,13600,54,50,420400,vegas GOODNIGHT,False,,avani,avani,,,,,,True,,,
7410510139851083038,2024-09-03T16:04:12,11,US,8856,43,88,360100,bye vegas ,False,,avani,avani,,,,,,True,,,
7409005277292268830,2024-08-30T14:44:44,9,US,14900,64,134,681200,,False,,avani,avani,,,,,,True,,,
7408203221992230174,2024-08-28T10:52:16,33,US,8079,134,210,704600,HEYDUDE! HEYDUDE! HEYDUDE! Loving my new @HeyDude x Beetlejuice collab shoes! #HEYDUDEPartner,False,,avani,avani,,,,,,True,,,
7407965619565464862,2024-08-27T19:30:18,9,US,24000,126,79,833000,noah i cant do this today 🙂‍↕️🙂‍↕️,False,,avani,avani,,,,,,True,,,
7407962743506029854,2024-08-27T19:19:08,14,US,33400,387,117,769200,🥱🥱🥱,False,,avani,avani,,,,,,True,,,
7407249644125818143,2024-08-25T21:11:58,15,US,736300,6996,1522,6800000,anyways,False,,avani,avani,,,,,,True,,,
7407228072606321951,2024-08-25T19:48:13,11,US,53800,430,198,1000000,i just be postin,False,,avani,avani,,,,,,True,,,
7407197837433261342,2024-08-25T17:50:50,15,US,99400,2141,455,1300000,oh how i love this dance 😭 DANCE CREDITS: @erica  !!!,False,,avani,avani,,,,,,True,,,
7407196370253155615,2024-08-25T17:45:11,15,US,13000,102,101,587300,erm this pencil is taller than me 😀✏️🍎🤓,False,,avani,avani,,,,,,True,,,
7413849224246332703,2024-09-12T16:01:39,51,US,1843,19,52,45200,My go to skincare product for when I need to rebalance and revitalize my skin is my Aveeno Daily Moisturizing Cream 💕 It helps to instantly strengthen my skin’s moisture barrier from head to toe! 🥰@Aveeno_US @Aveeno Canada #Aveeno #AveenoPartner #ThePowerOfOat ,False,,avani,avani,,,,,,True,,,
7413817376141020447,2024-09-12T13:58:01,14,US,2641,18,75,33800,,False,,avani,avani,,,,,,True,,,
7411987872074468639,2024-09-07T15:38:40,12,US,130700,634,454,939800,"thank you, next.",False,,avani,avani,,,,,,True,,,
7411333104700280094,2024-09-05T21:17:45,16,US,13600,58,100,457500,new nails and i put them on in the car because THEY PRESS ONSSSS 😋 also my mom made them :) ( @ nailsxanisha on instagram),False,,avani,avani,,,,,,True,,,
7410848800794823966,2024-09-04T13:58:25,8,US,15300,74,66,463600,🤓,False,,avani,avani,,,,,,True,,,
7410622504437386526,2024-09-03T23:20:21,13,US,13700,54,50,424900,vegas GOODNIGHT,False,,avani,avani,,,,,,True,,,
7410510139851083038,2024-09-03T16:04:12,11,US,8911,43,88,363600,bye vegas ,False,,avani,avani,,,,,,True,,,
7409005277292268830,2024-08-30T14:44:44,9,US,14900,64,134,684000,,False,,avani,avani,,,,,,True,,,
7408203221992230174,2024-08-28T10:52:16,33,US,8097,134,210,706900,HEYDUDE! HEYDUDE! HEYDUDE! Loving my new @HeyDude x Beetlejuice collab shoes! #HEYDUDEPartner,False,,avani,avani,,,,,,True,,,
7407965619565464862,2024-08-27T19:30:18,9,US,24000,126,79,835200,noah i cant do this today 🙂‍↕️🙂‍↕️,False,,avani,avani,,,,,,True,,,
7407962743506029854,2024-08-27T19:19:08,14,US,33500,388,117,771200,🥱🥱🥱,False,,avani,avani,,,,,,True,,,
7407249644125818143,2024-08-25T21:11:58,15,US,737200,7000,1522,6800000,anyways,False,,avani,avani,,,,,,True,,,
7407228072606321951,2024-08-25T19:48:13,11,US,53800,430,198,1000000,i just be postin,False,,avani,avani,,,,,,True,,,
7407197837433261342,2024-08-25T17:50:50,15,US,99500,2141,455,1300000,oh how i love this dance 😭 DANCE CREDITS: @erica  !!!,False,,avani,avani,,,,,,True,,,
7407196370253155615,2024-08-25T17:45:11,15,US,13000,102,101,588300,erm this pencil is taller than me 😀✏️🍎🤓,False,,avani,avani,,,,,,True,,,
7413849224246332703,2024-09-12T16:01:39,51,US,1844,19,52,45300,My go to skincare product for when I need to rebalance and revitalize my skin is my Aveeno Daily Moisturizing Cream 💕 It helps to instantly strengthen my skin’s moisture barrier from head to toe! 🥰@Aveeno_US @Aveeno Canada #Aveeno #AveenoPartner #ThePowerOfOat ,False,,avani,avani,,,,,,True,,,
7413817376141020447,2024-09-12T13:58:01,14,US,2641,18,75,33800,,False,,avani,avani,,,,,,True,,,
7411987872074468639,2024-09-07T15:38:40,12,US,130700,634,454,939800,"thank you, next.",False,,avani,avani,,,,,,True,,,
7411333104700280094,2024-09-05T21:17:45,16,US,13600,58,100,457500,new nails and i put them on in the car because THEY PRESS ONSSSS 😋 also my mom made them :) ( @ nailsxanisha on instagram),False,,avani,avani,,,,,,True,,,
7410848800794823966,2024-09-04T13:58:25,8,US,15300,74,66,463600,🤓,False,,avani,avani,,,,,,True,,,
7410622504437386526,2024-09-03T23:20:21,13,US,13700,54,50,424900,vegas GOODNIGHT,False,,avani,avani,,,,,,True,,,
7410510139851083038,2024-09-03T16:04:12,11,US,8911,43,88,363600,bye vegas ,False,,avani,avani,,,,,,True,,,
7409005277292268830,2024-08-30T14:44:44,9,US,14900,64,134,684000,,False,,avani,avani,,,,,,True,,,
